Name,Link
Relief Fund for Hollywood Support Staff ,https://www.gofundme.com/f/44ndst-relief-fund-for-hollywood-support-staff
Help Hourly Workers During The Coronavirus Crisis ,https://www.gofundme.com/f/helphourlyworkers
Seattle Artist Relief Fund Amid COVID-19,https://www.gofundme.com/f/for-artists
COVID-19 Relief Fund ,https://www.gofundme.com/f/covid19-relief-fund
A Million Masks: Coronavirus Support Fund ,https://www.gofundme.com/f/a-million-masks-coronavirus-support-fund
Seattle Hospitality Emergency Fund ,https://www.gofundme.com/f/seattle-hospitality-emergency-fund
Navajo & Hopi Families COVID-19 Relief Fund ,https://www.gofundme.com/f/navajo-amp-hopi-families-covid19-relief
Great American Restaurants Employee Relief Fund ,https://www.gofundme.com/f/great-american-restaurants-employee-relief-fund
Mask Response at Suay ,https://www.gofundme.com/f/mask-response-at-suay
Feeding UW Hospital Staff ,https://www.gofundme.com/f/feeding-uw-hospital-staff
Save Lives w 3D Printed Face Shields ,https://www.gofundme.com/f/cls-3d-faceshields
Richmond Restaurant Workers Support Fund,https://www.gofundme.com/discover/emergency-fundraiser
COVID-19 Fundraiser for WHO with $10 Million Match,https://m.facebook.com/nt/screen/?params=%7B%22fundraiser_campaign_id%22%3A1564752357011737%7D&path=%2Ffundraiser%2F&_rdr
